timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2020-07-22,0.00328800,0.00331900,0.00322700,0.00329800,109373217.00000000,1595462399999,359256.89544700,2186,48965063.00000000,161129.52151900,0
2020-07-23,0.00329800,0.00331200,0.00320000,0.00324100,78652269.00000000,1595548799999,255987.91487200,2583,35411672.00000000,115486.37143700,0
2020-07-24,0.00324100,0.00327000,0.00301900,0.00314600,140111265.00000000,1595635199999,442328.90422300,3586,52360345.00000000,165114.01149200,0
2020-07-25,0.00315800,0.00329000,0.00308500,0.00314100,97168025.00000000,1595721599999,308995.23864900,3392,43323149.00000000,137959.82085500,0
2020-07-26,0.00315100,0.00319700,0.00308700,0.00313600,57609957.00000000,1595807999999,180328.18420700,2018,25332526.00000000,79470.20852400,0
2020-07-27,0.00312000,0.00370000,0.00288200,0.00307600,203362697.00000000,1595894399999,621585.57715900,4577,106234026.00000000,330800.39874600,0
2020-07-28,0.00304800,0.00315200,0.00289000,0.00309000,191896174.00000000,1595980799999,577833.63174600,3319,76065305.00000000,228874.44581700,0
2020-07-29,0.00309000,0.00334900,0.00300200,0.00318500,158517406.00000000,1596067199999,504041.42199300,3654,72208021.00000000,229494.57864700,0
2020-07-30,0.00316100,0.00324700,0.00306000,0.00314800,98023891.00000000,1596153599999,308890.85700300,2540,47592772.00000000,150214.86701100,0
2020-07-31,0.00316500,0.00319500,0.00299900,0.00303200,111979472.00000000,1596239999999,344489.61357600,2734,45391814.00000000,140327.63540100,0
2020-08-01,0.00303800,0.00332000,0.00300200,0.00328800,238033234.00000000,1596326399999,755513.14223700,4656,115094149.00000000,365392.93398800,0
2020-08-02,0.00329000,0.00336900,0.00300900,0.00315800,143628375.00000000,1596412799999,460184.76789400,3808,66426195.00000000,213689.84277200,0
2020-08-03,0.00315500,0.00324400,0.00311500,0.00313000,93527358.00000000,1596499199999,296445.38400900,2029,35895014.00000000,114015.02878700,0
2020-08-04,0.00313300,0.00319300,0.00310000,0.00315000,76095443.00000000,1596585599999,239173.05226800,1544,35112303.00000000,110542.66172600,0
2020-08-05,0.00316900,0.00321600,0.00312300,0.00320000,68974432.00000000,1596671999999,219497.68275900,1906,35163931.00000000,112088.19062900,0
2020-08-06,0.00320000,0.00323700,0.00314600,0.00321600,76685363.00000000,1596758399999,244320.56340100,1920,37110613.00000000,118497.02771300,0
2020-08-07,0.00321700,0.00325000,0.00309000,0.00318300,102685987.00000000,1596844799999,327408.07105000,2183,50797037.00000000,162225.41976100,0
2020-08-08,0.00317000,0.00323000,0.00311200,0.00320000,84835320.00000000,1596931199999,268972.82428200,2076,42071401.00000000,133666.31800900,0
2020-08-09,0.00320500,0.00328000,0.00310100,0.00325800,158332079.00000000,1597017599999,508380.54616400,3356,71274982.00000000,229722.45191900,0
2020-08-10,0.00325800,0.00364000,0.00319100,0.00353900,283717681.00000000,1597103999999,954795.97064300,5780,152832157.00000000,516326.96716400,0
2020-08-11,0.00354900,0.00362000,0.00310000,0.00325700,261581941.00000000,1597190399999,889922.24604200,5682,98271304.00000000,336087.34550300,0
2020-08-12,0.00326400,0.00332200,0.00316300,0.00331300,105808444.00000000,1597276799999,343651.60988400,2510,50130109.00000000,163163.48788400,0
2020-08-13,0.00331800,0.00339000,0.00323000,0.00338300,148864700.00000000,1597363199999,492579.87199500,4109,68378169.00000000,226754.95463600,0
2020-08-14,0.00338500,0.00340300,0.00329700,0.00340300,122100816.00000000,1597449599999,408647.77428400,3008,48783505.00000000,163725.75107900,0
2020-08-15,0.00338800,0.00376200,0.00333800,0.00355600,310305973.00000000,1597535999999,1082165.50978800,5323,128517203.00000000,453075.28289200,0
2020-08-16,0.00357000,0.00370000,0.00349400,0.00369800,194188323.00000000,1597622399999,698601.82227800,4805,89892610.00000000,324542.40582500,0
2020-08-17,0.00367800,0.00413900,0.00365100,0.00377700,351073238.00000000,1597708799999,1357832.76240600,8891,179285975.00000000,694765.77624300,0
2020-08-18,0.00375800,0.00389500,0.00352400,0.00366200,197059146.00000000,1597795199999,732412.16695500,4174,86044608.00000000,320480.26419700,0
2020-08-19,0.00365500,0.00380000,0.00343900,0.00345900,131440953.00000000,1597881599999,465909.61809600,2685,51211624.00000000,182451.35535500,0
2020-08-20,0.00345900,0.00370600,0.00341100,0.00367800,83966826.00000000,1597967999999,298428.25885600,2224,45994449.00000000,164114.43478200,0
2020-08-21,0.00367800,0.00398800,0.00346200,0.00370800,284884143.00000000,1598054399999,1078576.06741000,7267,141807304.00000000,537919.73610000,0
2020-08-22,0.00370800,0.00389900,0.00352100,0.00381100,130109347.00000000,1598140799999,482752.38038400,3438,73592052.00000000,273854.06153600,0
2020-08-23,0.00382900,0.00452100,0.00373000,0.00432300,348817316.00000000,1598227199999,1424106.35934200,8445,178323105.00000000,728986.74389300,0
2020-08-24,0.00432300,0.00460000,0.00403000,0.00407100,417349502.00000000,1598313599999,1792629.00920800,8459,185787389.00000000,797936.66711800,0
2020-08-25,0.00405700,0.00412400,0.00356800,0.00369900,285177088.00000000,1598399999999,1095831.91588900,6011,131868914.00000000,506904.79871500,0
2020-08-26,0.00369600,0.00429500,0.00365400,0.00424900,317670040.00000000,1598486399999,1275183.35751300,8099,175684290.00000000,706180.95385100,0
2020-08-27,0.00424900,0.00440000,0.00370100,0.00384300,348247116.00000000,1598572799999,1402766.09424500,7040,159433607.00000000,644213.24157800,0
2020-08-28,0.00385200,0.00454000,0.00382000,0.00449000,648207574.00000000,1598659199999,2731225.10645600,10119,384668224.00000000,1616578.95633600,0
2020-08-29,0.00449000,0.00507100,0.00445000,0.00486500,1060974343.00000000,1598745599999,5095738.00761800,19365,501902043.00000000,2411219.34314000,0
2020-08-30,0.00486500,0.00495000,0.00448900,0.00460100,426031987.00000000,1598831999999,1973186.06046500,7569,213360615.00000000,989579.28713000,0
2020-08-31,0.00460100,0.00490000,0.00453200,0.00456100,277478187.00000000,1598918399999,1301129.03564500,6360,146015664.00000000,685541.67910200,0
2020-09-01,0.00455900,0.00471200,0.00425000,0.00440100,294243344.00000000,1599004799999,1302051.05984000,6494,145023231.00000000,643095.90629400,0
2020-09-02,0.00442900,0.00448600,0.00393100,0.00416600,261019007.00000000,1599091199999,1100769.39978500,4761,109187076.00000000,457370.19946200,0
2020-09-03,0.00417300,0.00420000,0.00334600,0.00344100,346825195.00000000,1599177599999,1321182.20644300,6839,180207756.00000000,692104.54600600,0
2020-09-04,0.00340500,0.00404700,0.00334600,0.00373800,378763123.00000000,1599263999999,1380721.08424400,7359,177137625.00000000,643145.25646600,0
2020-09-05,0.00373700,0.00385000,0.00320300,0.00328200,296353918.00000000,1599350399999,1034084.34377200,5505,125731190.00000000,440013.41710900,0
2020-09-06,0.00328300,0.00344900,0.00313100,0.00331800,163485571.00000000,1599436799999,538267.43766700,3560,70151470.00000000,231201.26338600,0
2020-09-07,0.00332000,0.00353500,0.00300000,0.00332000,213528292.00000000,1599523199999,682713.29923700,4248,99811753.00000000,322640.20895900,0
2020-09-08,0.00334000,0.00335400,0.00305900,0.00316500,128559226.00000000,1599609599999,411549.32062000,2468,51135034.00000000,163798.34932200,0
2020-09-09,0.00316400,0.00337300,0.00309500,0.00332300,80373789.00000000,1599695999999,260214.63521200,1601,41441521.00000000,134711.76012800,0
2020-09-10,0.00332300,0.00355700,0.00330800,0.00344600,84294836.00000000,1599782399999,289422.88440300,2431,42154180.00000000,144948.09891300,0
2020-09-11,0.00344600,0.00353300,0.00332000,0.00352400,96413484.00000000,1599868799999,333898.66122500,1955,50916464.00000000,176693.26003900,0
2020-09-12,0.00352200,0.00353500,0.00340000,0.00347800,73296998.00000000,1599955199999,252585.10717800,1501,41679489.00000000,143819.86227700,0
